cluster_id,name,st_mean,st_median,st_rank,fa_mean,fa_median,fr_mean,fr_median,fo_mean,fo_median,count,clusterid,male,mostly_male,female,mostly_female,male_ratio_strict,male_ratio_loose,ideo_shift,negs_shift,0.8,0.85,0.9,0.95
129,"Music: Contemporary R&B, Jazz Rap, Alternaltive Hip-hop",7216.008834,1313,106,6551.091873,1856,428.1590106,286.5,1776.316254,148,566,129,110,15,9,3,0.924369748,0.912408759,0.10487369,0.166377639,0.090225564,0.037593985,0.015037594,0.007518797
130,,14514.99145,2844.5,133,7460.452991,1436.5,446.0626781,307,886.6873219,198.5,1404,130,393,61,68,29,0.852494577,0.823956443,0.055642095,0.092930864,0.090225564,0.067669173,0.045112782,0.030075188
131,,16482.90753,2956,134,9183.35274,2890,568.5205479,411,743,179.5,292,131,87,7,20,8,0.813084112,0.770491803,0.110903709,0.135380252,0.127819549,0.090225564,0.07518797,0.030075188
132,Atlanta Falcons,3068.920139,514,60,1037.236111,43,514.2291667,298,2016.694444,96,288,132,67,13,34,17,0.663366337,0.610687023,0.098901206,0.133807223,0.142857143,0.082706767,0.052631579,0.030075188
133,Atlanta Falcons2,2864.159091,371,38,1060.444805,79.5,395.3636364,230.5,1020.961039,63.5,308,133,43,6,48,11,0.472527473,0.453703704,0.092453588,0.135117404,0.090225564,0.082706767,0.045112782,0.015037594
134,,3918.687225,279,33,1577.061674,88,335.4537445,192,350.5198238,55,227,134,26,4,45,3,0.366197183,0.384615385,0.094556589,0.150966686,0.097744361,0.052631579,0.037593985,0.015037594
135,TV: Real Housewives of Atlanta,591.1212121,9,7,353.8741259,4,156.3403263,52,66.37062937,7,429,135,36,3,48,6,0.428571429,0.419354839,0.099352486,0.147378863,0.120300752,0.067669173,0.037593985,0
136,Black Media - Radio Pop Culture,7348.863415,370,37,1311.64878,67,401.995122,255.5,2400.395122,74,410,136,30,1,73,7,0.291262136,0.279279279,0.089616027,0.149327475,0.105263158,0.045112782,0.022556391,0.007518797
137,Atlanta reality TV,22507.19675,6139,142,2395.097363,498,6047.294118,1735,6749.083164,1304,493,137,50,3,24,10,0.675675676,0.609195402,0.090287854,0.133424236,0.120300752,0.082706767,0.030075188,0.015037594
138,,17606.2161,6026,141,1315.229508,119,1043.558867,738,4801.654247,581,671,138,51,3,24,8,0.68,0.627906977,0.120040787,0.150532612,0.120300752,0.082706767,0.052631579,0.045112782
139,Music: Atlanta DJ,23495.69203,12240,147,12718.33333,4272.5,697.3550725,519,2997.536232,647,276,139,10,2,28,7,0.263157895,0.255319149,0.157314999,0.176733674,0.127819549,0.07518797,0.045112782,0.015037594
140,Atlanta local celebrities,17166.28803,7215,145,1850.424534,107,544.7390259,369,688.2832231,290,1663,140,152,36,272,50,0.358490566,0.368627451,0.100521859,0.119516232,0.15037594,0.120300752,0.082706767,0.030075188
141,,6027.7,2291,124,370.765,59,915.06,537.5,1825.315,349.5,200,141,21,3,32,6,0.396226415,0.387096774,0.149516809,0.141623048,0.187969925,0.135338346,0.097744361,0.045112782
142,,6402.617949,1055.5,95,8264.815385,2728.5,292.1641026,185.5,310.1641026,111,390,142,26,8,69,10,0.273684211,0.300884956,0.096518353,0.159223594,0.067669173,0.045112782,0.022556391,0
143,,7362.351499,2577,128,16372.0327,8516,278.4686649,232,362.8446866,194,367,143,23,5,69,4,0.25,0.277227723,0.098956626,0.14894146,0.090225564,0.060150376,0.030075188,0.015037594
144,,28954.13897,16551,150,14976.69079,5959,1733.037717,928,2185.682297,1052,2943,144,182,32,212,44,0.461928934,0.455319149,0.081233601,0.11170976,0.172932331,0.135338346,0.052631579,0.015037594
145,,9853.613652,2001.5,122,7608.843327,2505,387.7234079,238,825.7481369,222.5,5904,145,330,49,291,55,0.531400966,0.522758621,0.094756858,0.116054249,0.15037594,0.135338346,0.07518797,0.022556391
146,,17965.67658,8137,146,13580.51673,7356,543.0334572,371,888.9591078,485,269,146,20,4,19,2,0.512820513,0.533333333,0.144066251,0.174054751,0.120300752,0.082706767,0.030075188,0.030075188
147,,9655.057508,3389,137,16789.07668,8078,253.4057508,180,2004.025559,183,313,147,6,0,48,4,0.111111111,0.103448276,0.136772082,0.167666196,0.097744361,0.067669173,0.037593985,0.015037594
148,,19881.24828,7028.5,143,24434.12586,12320,495.7310345,321.5,945.2931034,373,580,148,20,2,48,11,0.294117647,0.271604938,0.120127015,0.148503775,0.127819549,0.097744361,0.045112782,0.022556391
,,,,,,,,,,,,,,,,,,,,,,,,
