cluster_id,name,st_mean,st_median,st_rank,fa_mean,fa_median,fr_mean,fr_median,fo_mean,fo_median,count,clusterid,male,mostly_male,female,mostly_female,male_ratio_strict,male_ratio_loose,ideo_shift,negs_shift,0.8,0.85,0.9,0.95
77,,3861.559055,956,89,4795.234646,1654,1189.894488,636,1559.285039,373,635,77,181,23,40,15,0.819004525,0.787644788,0.063656884,0.121919347,0.07518797,0.052631579,0.030075188,0.007518797
78,Georgia High School Sports,12094.66615,3213,136,7207.483771,1410,592.1251932,397,878.6460587,228,647,78,120,14,16,13,0.882352941,0.82208589,0.088618984,0.154451672,0.07518797,0.045112782,0.030075188,0.007518797
79,,7912.963605,1174,98,2452.596765,269,817.4026574,438,2823.059503,199,1731,79,254,34,354,59,0.417763158,0.410841655,0.037709195,0.090658597,0.045112782,0.022556391,0.007518797,0.007518797
80,Christian,6796.33123,1469,112,4889.634069,1238,423.6656151,251,1182.523659,134,317,80,33,4,26,4,0.559322034,0.552238806,0.113015823,0.146608931,0.082706767,0.07518797,0.037593985,0.037593985
81,,1835.966837,310.5,34,1617.505102,103.5,596.8852041,313,443.1096939,116,392,81,80,7,86,20,0.481927711,0.450777202,0.06155096,0.107309473,0.082706767,0.060150376,0.045112782,0.015037594
82,NW Region - City of Marietta/Cobb County,714.1006565,43,19,912.7746171,7,296.3588621,169,115.4398249,30,457,82,78,10,53,11,0.595419847,0.578947368,0.099907049,0.13122719,0.127819549,0.090225564,0.045112782,0.030075188
83,,3522.938182,494,56,6546.301818,926,426.0036364,249,287.0218182,72,275,83,53,8,36,10,0.595505618,0.570093458,0.077964665,0.130259259,0.07518797,0.060150376,0.030075188,0.015037594
84,Marvel,5764.855114,629.5,69,2868.849432,309.5,495.9147727,322,1490.403409,107.5,352,84,28,5,67,17,0.294736842,0.282051282,0.06642267,0.114215432,0.120300752,0.082706767,0.045112782,0.015037594
85,Black female entrepreneurs,10757.77723,2757,130,8628.252475,1863.5,478.3316832,325.5,405.450495,178,202,85,73,7,29,3,0.715686275,0.714285714,0.092565187,0.135866872,0.127819549,0.090225564,0.060150376,0.022556391
86,,3696.916555,856,83,1465.323015,187,878.4858681,478,1000.297443,293,743,86,156,27,168,40,0.481481481,0.468030691,0.045067531,0.094561922,0.060150376,0.037593985,0.022556391,0.007518797
87,,5346.572755,1164,97,7292.433437,1373,529.4024768,329,854.1826625,132,323,87,60,14,104,14,0.365853659,0.385416667,0.070155109,0.11679317,0.07518797,0.045112782,0.037593985,0.022556391
88,,1659.944444,334,35,1493.37037,55.5,563.412037,271,400.2314815,149,216,88,41,3,49,10,0.455555556,0.427184466,0.076617028,0.112735142,0.097744361,0.067669173,0.052631579,0.037593985
89,Far NW Region ExUrbs,1978.783019,415.5,46,1187.883648,134,712.6698113,454.5,548.8993711,150,318,89,61,7,69,11,0.469230769,0.459459459,0.06967884,0.118572267,0.097744361,0.067669173,0.037593985,0.007518797
90,Super-Far NW Region ExUrbs,2990.350282,19,16,847.3427495,9,230.2354049,90,115.1600753,11,531,90,73,3,44,17,0.623931624,0.554744526,0.100917861,0.15199278,0.097744361,0.07518797,0.052631579,0.022556391
91,Misc Entertainment and Local Culture,2652.351747,485,52,2854.749718,330,587.4768884,356,1452.634724,217,887,91,191,22,152,29,0.556851312,0.540609137,0.048567944,0.097680474,0.07518797,0.060150376,0.030075188,0.015037594
92,,1873.055344,507.5,58,854.6755725,102,722.1870229,418.5,655.1526718,248,524,92,35,5,103,23,0.253623188,0.240963855,0.054293169,0.116127462,0.07518797,0.045112782,0.030075188,0.022556391
93,Regional Leadership Development & Philanthropy,2228.550649,418,47,1864.355844,220,634.5298701,440,904.9506494,271,385,93,129,18,91,20,0.586363636,0.569767442,0.058221624,0.118822807,0.07518797,0.045112782,0.037593985,0.007518797
94,,5392.170213,1043,94,7647.845745,1229,1014.558511,587,1242.984043,292,376,94,90,13,104,18,0.463917526,0.457777778,0.054746478,0.11867429,0.052631579,0.052631579,0.022556391,0.015037594
95,,3093.462838,722.5,76,5998.864865,1185.5,383.5439189,273,288.0574324,88.5,296,95,91,11,67,17,0.575949367,0.548387097,0.06330788,0.131562074,0.067669173,0.060150376,0.030075188,0.007518797
96,,5372.390244,1491,113,10108.18699,2766.5,379.9186992,250,712.9715447,180,246,96,31,5,78,9,0.28440367,0.292682927,0.078642795,0.138507293,0.097744361,0.067669173,0.037593985,0.015037594
97,,5380.965517,256,31,4098.87931,216.5,633.8965517,390,18615.05603,55.5,232,97,49,10,10,5,0.830508475,0.797297297,0.124126301,0.145663134,0.135338346,0.067669173,0.037593985,0.015037594
98,,6058.156805,2148,123,20496.22485,7399.5,807.9230769,545,762.7071006,142.5,338,98,79,9,19,6,0.806122449,0.778761062,0.069330097,0.124206229,0.097744361,0.045112782,0.030075188,0.015037594
99,BLM,11204.16154,3039.5,135,10825.74359,3513,323.0025641,257,1251.835897,218.5,390,99,59,5,51,14,0.536363636,0.496124031,0.062217943,0.126876579,0.067669173,0.030075188,0.007518797,0.007518797
