,community_size,name,lexical_change,ideology_lexical_shift,male_to_female_ratio,friends_count_mean,friends_count_median,follower_count_mean,follower_count_median,tweet_count_mean,tweet_count_median,tweet_count_rank,topic_words,top_follows
71,531, ,0.112225403,0.057165272,0.588832487,384.35216569999994,217.0,700.2806026000001,107.0,6178.92467,809.0,81,"own,de,____,manera,en,cbd,fluoresc,alum,all-tim,atlanta,¹__,kilt,gatech,trap,brett","ATLUTD,ajc,AtlantaFalcons,GAFollowers,ATLHawks,BarackObama,wsbtv,CityofAtlanta,ATL_Events,AtlantaMagazine,cl_atlanta,Braves,FOX5Atlanta,TheEllenShow,OldGeorgiaPics,GeorgiaPics,SportsCenter,AtlantaBeltLine,2DayInGAHistory,espn,CNN,11AliveNews,KeishaBottoms,cnnbrk,jimmyfallon"
72,373,Millitary,0.11577345300000001,0.059682302,0.7109375,490.8203753,292.0,800.3324397000001,81.0,3562.7908850000003,384.0,43,"veteran,secur,militari,feder,solut,busi,american,govern,oper,crisi,special,manag,dvid,saka,kaboom","DeptofDefense,DHSgov,ajc,StateDept,USArmy,WhiteHouse,FBI,BarackObama,USNavy,USMC,usairforce,CIA,realDonaldTrump,wsbtv,CNN,POTUS,nytimes,CityofAtlanta,TheJusticeDept,NASA,cnnbrk,WSJ,SecretService,washingtonpost,USNationalGuard"
73,782, ,0.159094374,0.109448535,0.8740157479999999,1290.377238,800.5,2678.795396,244.0,10930.7289,1910.0,121,"dm,content,male,porn,straight,adult,ig,video,onlyfan,freaki,creator,nsfw,atl,submiss,xxx","BlackSexVids,MissBNasty,TeannaTrump,SimoneRichards_,BrittneyJonesXX,TherealMsL0ndon,imGHETTOBARBIE,sexualbanditt,thekinkywave,imxxxdark,candacevon,theestallion,KrackinasssKeyy,LETHALLIPPSXXX,queensavagedoll,IamChASSity,RealKakeyy,therealpinkyxxx,theeministalli,notmyequal_xxx,dominicanraq,the_jada_fire,LUSCIOUSLOUIS,DestiniDaze,MochaXXXMenage"
74,457,UGA Sports,0.151904972,0.15750994599999998,0.594339623,232.30634569999998,73.0,107.66739609999999,9.0,454.90153169999996,11.0,9,"compani,roof,atlanta,provid,base,twitter,ga,custom,peopl,servic,fallout,larp,f_____,bornfam,aae","ajc,GeorgiaFootball,UGAAthletics,Braves,AtlantaFalcons,FOX5Atlanta,wsbtv,aaronmurray11,GAFollowers,RealCJ10,MarkRicht,11AliveNews,M_Ryan02,ATLHawks,FreddieFreeman5,GAFolIowers,TheEllenShow,jimmyfallon,BarackObama,SportsCenter,espn,cnnbrk,KevinHart4real,taylorswift13,katyperry"
75,1805,Game,0.096472023,0.050998807,0.8350730690000001,552.2919668,343.0,4114.691967,115.0,6426.53795,1446.0,111,"game,gamer,twitch,streamer,stream,anim,video,play,affili,youtub,esport,player,psn,@twitch,discord","PlayStation,Twitch,NintendoAmerica,Xbox,IGN,RockstarGames,BarackObama,Ubisoft,elonmusk,Ninja,FortniteGame,Steam,MrBeastYT,discord,Pokemon,timthetatman,EA,drdisrespect,GameSpot,Bungie,PlayOverwatch,Nadeshot,pokimanelol,E3,YouTube"
76,210, ,0.157991407,0.137999992,0.728571429,357.4095238,275.0,476.4190476,222.0,10452.090479999999,2841.0,132,"love,____,yoadrienn,cortez,amaya,milit,des,way,pour,yet,sane,instagram,take,boss,decent","VineCreators,TwitterVideo,BarackObama,ajc,GAFollowers,Drake,KevinHart4real,rihanna,wizkhalifa,LilTunechi,KingJames,chrisbrown,TheEllenShow,JColeNC,1future,wsbtv,iamcardib,instagram,kanyewest,Wale,theestallion,Tip,lilduval,NBA,NICKIMINAJ"
77,635,Georgia High School Sports,0.121919347,0.063656884,0.819004525,1189.8944880000001,636.0,1559.285039,373.0,3861.5590549999997,956.0,89,"coach,school,high,footbal,athlet,qb,gpa,db,wr,hs,lb,rb,westlak,class,sport","RecruitGeorgia,ChadSimmons_,OfficialGHSA,Mansell247,High5Sports,247Sports,Rivals,GPBsports,WSBTVsports,SportsCenter,therealkwat,scoreatlanta,NFL,espn,GeorgiaFootball,ajc,247recruiting,KingJames,AtlantaFalcons,wsbtv,MaxPreps,BleacherReport,GAFollowers,TheOpening,RisingSeniors"
78,647, ,0.15445167199999998,0.088618984,0.882352941,592.1251932,397.0,878.6460587000001,228.0,12094.66615,3213.0,136,"sneaker,sneakerhead,ig,#sneakerhead,instagram,kick,nike,season,legendarycop,youtub,god,bio,shoe,ep,link","nikestore,footlocker,nicekicks,SneakerNews,kicksonfire,Nike,FinishLine,Jumpman23,SoleCollector,KicksDeals,J23app,ComplexSneakers,SOLELINKS,champssports,KingJames,adidasoriginals,Footaction,Drake,sneakersteal,Eastbay,kanyewest,SneakerShouts,SportsCenter,GAFollowers,BarackObama"
79,1731,Christian,0.090658597,0.037709195,0.41776315799999997,817.4026574,438.0,2823.059503,199.0,7912.963605,1174.0,98,"god,author,speaker,pastor,gospel,ministri,coach,jesus,life,love,christ,christian,church,purpos,minist","BishopJakes,BarackObama,JoyceMeyer,JoelOsteen,tylerperry,kirkfranklin,Oprah,IAmSteveHarvey,marvinsapp,RealFredHammond,kierrasheard,Donnieradio,ajc,therealmarymary,TyeTribbett,cecewinans,tashacobbs,KevinHart4real,tarajiphenson,jamalhbryant,MrJamesFortune,Keetwit,YolandaAdams,VaShawnMitchell,RevRunWisdom"
80,317, ,0.146608931,0.113015823,0.559322034,423.6656151000001,251.0,1182.523659,134.0,6796.33123,1469.0,112,"ig,da,tre,littl,5southshow,@coco,arianah,sweetheartlexus,just.hga,ashnikfit,teamk,rais,black,way,trap","KarlousM,DCYOUNGFLY,chicoBean,85SouthShow,WildNOut,theestallion,iamdesibanks,rihanna,iamcardib,Emanhudson,BarackObama,Drake,lilbaby4PF,gucci1017,chrisbrown,TheBSimone,JColeNC,MeekMill,KevinHart4real,GAFollowers,1future,Tip,WORLDSTAR,youngthug,DaBabyDaBaby"
81,392,NW Region - City of Marietta/Cobb County,0.107309473,0.06155096,0.48192771100000004,596.8852041,313.0,443.1096938999999,116.0,1835.9668370000002,310.5,34,"cobb,help,marietta,busi,atlanta,market,northwest,metro,solut,provid,driven,client,mail,us,area","ajc,CobbNewsNow,cobbcountygovt,cityofmarietta,mdjonline,wsbtv,CobbChamber,11AliveNews,CobbSchools,FOX5Atlanta,CityofAtlanta,AtlantaMagazine,ATL_Events,EastCobbPatch,CobbBuzz,eastcobber,visitmariettaga,SmyrnaPatch,SmyrnaNews,cl_atlanta,DiscoverAtlanta,Braves,cnnbrk,cbs46,AtlBizChron"
82,457, ,0.13122719,0.099907049,0.5954198470000001,296.3588621,169.0,115.4398249,30.0,714.1006565,43.0,19,"estat,profession,come,ga,adoro,ofcomput,showcas,artist,blerd,voluntari,cls,real,atlanta,firm,agent","ajc,Twitter,TheEllenShow,jimmyfallon,BarackObama,TwitterLive,ActuallyNPH,LIFE,wsbtv,BBCBreaking,stephenfry,TheEconomist,katyperry,BillGates,TwitterSports,rihanna,rickygervais,TEDTalks,jtimberlake,Reuters,CNN,hm,CHANEL,nytimes,ladygaga"
83,275,Marvel,0.13025925900000002,0.077964665,0.595505618,426.0036364,249.0,287.0218182,72.0,3522.938182,494.0,56,"comic,actor,marvel,movi,nerd,writer,opespillgam,cosplay,pop,tien,watch,becom,i'm,superhero,awkward","RobertDowneyJr,ChrisEvans,chrishemsworth,Avengers,Marvel,prattprattpratt,VancityReynolds,MarkRuffalo,JeremyRenner,BarackObama,CaptainAmerica,MarvelStudios,TomHolland1996,RealHughJackman,thorofficial,Iron_Man,Guardians,chadwickboseman,twhiddleston,SamuelLJackson,TheRealStanLee,theblackpanther,DrStrange,AntMan,ajc"
84,352,Black female entrepreneurs,0.11421543199999999,0.06642267,0.294736842,495.9147727,322.0,1490.403409,107.5,5764.855114,629.5,69,"black,brand,entrepreneur,author,busi,women,color,event,speaker,founder,cultur,line,chang,experi,bath","blackenterprise,blackvoices,EBONYMag,Essence,TheRoot,BarackObama,ajc,Oprah,CNN,BET,tylerperry,rolandsmartin,GetJETmag,tvonetv,cnnbrk,soledadobrien,wsbtv,nytimes,ava,tarajiphenson,MichelleObama,CityofAtlanta,IAmSteveHarvey,BLACKGIRLSROCK,KevinHart4real"
85,202, ,0.135866872,0.092565187,0.715686275,478.33168319999993,325.5,405.45049500000005,178.0,10757.77723,2757.0,130,"boston,patriot,celtic,england,sox,fan,@patriot,red,sport,bruin,pat,@thugnation47,connorsirk,alum,ri","Patriots,TomBrady,RobGronkowski,Edelman11,RedSox,BarackObama,celtics,NFL,SportsCenter,espn,ajc,AdamSchefter,GAFollowers,realDonaldTrump,NHLBruins,stephenasmith,davidortiz,barstoolsports,wojespn,BillSimmons,KingJames,jimmyfallon,BleacherReport,SHAQ,Drake"
86,743, ,0.09456192199999999,0.045067530999999994,0.481481481,878.4858681,478.0,1000.2974429999999,293.0,3696.916555,856.0,83,"market,digit,media,agenc,social,brand,advertis,strategi,#market,content,help,manag,busi,creativ,communic","ajc,mashable,adage,Adweek,FastCompany,TechCrunch,hootsuite,HubSpot,MarketingProfs,socialmedia2day,Forbes,nytimes,WIRED,AtlantaMagazine,WSJ,BarackObama,AMAAtlanta,Inc,cl_atlanta,HarvardBiz,Google,cnnbrk,CNN,SMExaminer,AtlBizChron"
87,323, ,0.11679317,0.07015510900000001,0.365853659,529.4024768,329.0,854.1826625,132.0,5346.572755,1164.0,97,"appel,learner,salt,travel,i'm,#theresist,lawyer,design,tri,semicolon,dptraynor,opinion,photograph,dracula,mom","RogueNASA,NotAltWorld,BarackObama,altUSEPA,RoguePOTUSStaff,HillaryClinton,AltPublicLands,MichelleObama,POTUS44,ajc,SenWarren,altusda,AOC,StephenAtHome,JoeBiden,Alt_CDC,nytimes,ACLU,SenSanders,neiltyson,Healthy_Policy,AltHHS,KamalaHarris,ewarren,BernieSanders"
88,216,Far NW Region ExUrbs,0.112735142,0.076617028,0.45555555600000003,563.412037,271.0,400.2314815,149.0,1659.944444,334.0,35,"atlanta,estat,clean,famili,perimet,experi,develop,vcap,home,provid,sell,firm,wife,diseas,gyro","ajc,DunwoodyGA,DunwoodyPolice,wsbtv,SandySpringsGA,DunwoodyCrier,11AliveNews,AtlantaMagazine,CityofAtlanta,FOX5Atlanta,ATL_Events,cl_atlanta,DunwoodyChamber,DiscoverAtlanta,DunwoodyPatch,GeorgiaAtoZ,NorthMetroNews,Reporter_News,ATLINtownPaper,cnnbrk,DunwoodyHOA,AtlantaBeltLine,DeKalbNewsNow,VisitDunwoody,cbs46"
89,318,Super-Far NW Region ExUrbs,0.118572267,0.06967884,0.469230769,712.6698113,454.5,548.8993711,150.0,1978.7830190000002,415.5,46,"north,compani,servic,realtor,market,atlanta,metro,communityprofil,counti,provid,area,home,qualiti,event,clean","ajc,alpharettagov,AlpharettaPatch,AlpharettaCVB,NFultonNeighbor,CityofRoswellGA,RoswellPatch,wsbtv,AtlantaMagazine,AvalonInsider,CityofAtlanta,ATL_Events,cl_atlanta,DiscoverAtlanta,GrowAlpharetta,11AliveNews,FOX5Atlanta,cityofmiltonga,Alpharetta_CoC,AtlBizChron,gnfcc,northfulton,JohnsCreekPatch,cnnbrk,FultonCoSchools"
90,531,Misc Entertainment and Local Culture,0.15199278,0.100917861,0.623931624,230.23540490000002,90.0,115.1600753,11.0,2990.350282,19.0,16,"entertain,celebr,rap,i'm,hip-hop,hair,life,pew,music,rapper,paint,tv,god,real,hottest","tarajiphenson,ajc,fatbellybella,wsbtv,Tip,ryancameron,cl_atlanta,AtlantaFalcons,1future,KasimReed,GAFollowers,BarackObama,TheEllenShow,rihanna,FOX5Atlanta,Drake,jimmyfallon,KevinHart4real,RickeySmiley,Kandi,LilTunechi,ATL_Events,SportsCenter,chrisbrown,TreySongz"
91,887, ,0.097680474,0.048567944,0.556851312,587.4768884,356.0,1452.634724,217.0,2652.3517469999997,485.0,52,"communiti,citi,sustain,atlanta,urban,transit,transport,energi,solar,environment,develop,polici,organ,advoc,public","CityofAtlanta,AtlantaBeltLine,ajc,atlcouncil,cl_atlanta,AtlantaMagazine,KeishaBottoms,TimKeaneATL,AtlantaRegional,ATLPlanning,atlantabike,ryangravel,SaportaReport,BarackObama,downtownatlanta,KasimReed,ATLResilience,MidtownATL,mariasaporta,ThreadATL,InvestAtlanta,atlurbanist,AtlBizChron,piedmontpark,CurbedAtlanta"
92,524,Regional Leadership Development & Philanthropy,0.11612746199999999,0.054293169,0.253623188,722.1870229,418.5,655.1526717999999,248.0,1873.055344,507.5,58,"nonprofit,communiti,homeless,organ,youth,help,non-profit,volunt,children,empow,program,provid,social,famili,fundrais","nonprofitorgs,unitedwayatl,ajc,CityofAtlanta,ACFB,gatesfoundation,Philanthropy,CandidDotOrg,CandidSouth,HandsOnAtlanta,KasimReed,AtlantaMagazine,BarackObama,BlankFoundation,AtlantaBeltLine,CARE,NonProfitTimes,dosomething,cl_atlanta,CaseFoundation,BillGates,npquarterly,wsbtv,ATLINtownPaper,Oprah"
